drug_name,condition,review,cleaned_review
Abilify,Schizophrenia,Helps with symptoms but I sometimes feel drowsy after taking it,helps with symptoms but i sometimes feel drowsy after taking it
Abilify,Schizophrenia,Manages my symptoms well but Ive gained some weight,manages my symptoms well but ive gained some weight
Abilify,Schizophrenia,Helps with mental clarity but makes me feel a little tired at times,helps with mental clarity but makes me feel a little tired at times
Abilify,Bipolar Disorder,Balances my mood effectively but I experienced initial restlessness,balances my mood effectively but i experienced initial restlessness
Abilify,Schizophrenia,Helps with mood swings though I feel occasional restlessness,helps with mood swings though i feel occasional restlessness
Abilify,Schizophrenia,Helps manage symptoms but I experience some weight gain,helps manage symptoms but i experience some weight gain
Abilify,Schizophrenia,Helps control my symptoms but I feel a bit dizzy sometimes,helps control my symptoms but i feel a bit dizzy sometimes
Abilify,Bipolar Disorder,Helped stabilize my mood though it increased my appetite,helped stabilize my mood though it increased my appetite
Abilify,Schizophrenia,Works well for my condition but it caused some restlessness and weight gain,works well for my condition but it caused some restlessness and weight gain
Abilify,Bipolar Disorder,Stabilized my mood but made me feel restless at times,stabilized my mood but made me feel restless at times
Abilify,Schizophrenia,Effective for managing symptoms but it caused some restlessness and weight gain,effective for managing symptoms but it caused some restlessness and weight gain
Abilify,Bipolar Disorder,Helps with my mood swings but I experience some restlessness,helps with my mood swings but i experience some restlessness
Abilify Maintena,Schizophrenia,Keeps my symptoms in check effectively with minimal side effects,keeps my symptoms in check effectively with minimal side effects
Acarbose,Type 2 Diabetes,Good for controlling sugar levels but causes bloating,good for controlling sugar levels but causes bloating
Acetaminophen,Pain Relief,Relieves pain well but doesnt last as long as Id like,relieves pain well but doesnt last as long as id like
Acetaminophen,Pain Relief,Works for mild pain but I need stronger medication sometimes,works for mild pain but i need stronger medication sometimes
Acetazolamide,Glaucoma,Reduces eye pressure effectively but I get tingling sensations,reduces eye pressure effectively but i get tingling sensations
Actemra,Rheumatoid Arthritis,Has helped control joint inflammation though it caused a bit of fatigue,has helped control joint inflammation though it caused a bit of fatigue
Actonel,Osteoporosis,Helps prevent fractures but I sometimes experience stomach upset,helps prevent fractures but i sometimes experience stomach upset
Actos,Type 2 Diabetes,Effective for my blood sugar but caused some weight gain over time,effective for my blood sugar but caused some weight gain over time
Actos,Diabetes,Manages my blood sugar well though I noticed mild swelling,manages my blood sugar well though i noticed mild swelling
Actos,Diabetes,Good for blood sugar control but Ive gained some weight,good for blood sugar control but ive gained some weight
Acyclovir,Herpes Simplex,Helps manage outbreaks but I sometimes get mild nausea,helps manage outbreaks but i sometimes get mild nausea
Aczone,Acne,Clears acne effectively though my skin felt dry initially,clears acne effectively though my skin felt dry initially
Adalimumab,Psoriasis,Clears up my skin but its very expensive,clears up my skin but its very expensive
Adalimumab,Autoimmune Conditions,Reduces symptoms well but is quite expensive,reduces symptoms well but is quite expensive
Adderall,ADHD,Helps with focus but can cause some jitteriness and trouble sleeping,helps with focus but can cause some jitteriness and trouble sleeping
Adderall,ADHD,Works wonders for focus but I feel jittery and anxious after taking it,works wonders for focus but i feel jittery and anxious after taking it
Adderall,ADHD,Helps with focus but I sometimes feel jittery after taking it,helps with focus but i sometimes feel jittery after taking it
Adderall,ADHD,Improves focus significantly though it suppresses my appetite,improves focus significantly though it suppresses my appetite
Adderall,ADHD,Improves focus and attention though I feel jittery occasionally,improves focus and attention though i feel jittery occasionally
Adderall,ADHD,Helps with focus but I occasionally feel jittery and anxious,helps with focus but i occasionally feel jittery and anxious
Adderall,ADHD,Helps with focus but sometimes I feel jittery after taking it,helps with focus but sometimes i feel jittery after taking it
Adderall XR,ADHD,Helps with focus but can cause anxiety and trouble sleeping,helps with focus but can cause anxiety and trouble sleeping
Adderall XR,ADHD,Helps with focus but can cause anxiety and dry mouth,helps with focus but can cause anxiety and dry mouth
Adderall XR,ADHD,Works great for focus but I sometimes feel a bit jittery after taking it,works great for focus but i sometimes feel a bit jittery after taking it
Adderall XR,ADHD,Helps with focus but I feel a little anxious at times,helps with focus but i feel a little anxious at times
Advair,Asthma,Improves breathing effectively though it dries out my throat a bit,improves breathing effectively though it dries out my throat a bit
Advair,Asthma,Relieves asthma symptoms effectively but sometimes causes throat irritation,relieves asthma symptoms effectively but sometimes causes throat irritation
Advair,Asthma,Reduced my asthma flareups significantly Easy to use,reduced my asthma flareups significantly easy to use
Advair,Asthma,Really helps with my asthma but I have noticed some hoarseness and a dry throat,really helps with my asthma but i have noticed some hoarseness and a dry throat
Advair,Asthma,Controls my asthma well but I get a hoarse voice sometimes,controls my asthma well but i get a hoarse voice sometimes
Advair,Asthma,Great for preventing asthma attacks but the inhaler needs careful maintenance,great for preventing asthma attacks but the inhaler needs careful maintenance
Advair,Asthma,Helps with asthma control but I notice some throat irritation,helps with asthma control but i notice some throat irritation
Advair,COPD,Controls my symptoms well but the inhaler needs regular cleaning,controls my symptoms well but the inhaler needs regular cleaning
Advair Diskus,Asthma,Improves my breathing but is a bit expensive,improves my breathing but is a bit expensive
Advil,Pain,Great for pain relief but I experienced some stomach upset after prolonged use,great for pain relief but i experienced some stomach upset after prolonged use
Advil,Pain Relief,Fast and effective for general pain relief Easy to find everywhere,fast and effective for general pain relief easy to find everywhere
